Date;Open;High;Low;Close ;Adj Close ;Volume
12/4/2024;46.0;46.2;45.8;45.9;44.1;1,693,900.0
11/4/2024;47.4;47.5;46.3;46.6;44.7;1,217,900.0
10/4/2024;47.4;47.5;47.0;47.1;45.2;2,947,000.0
9/4/2024;47.1;47.6;47.1;47.5;45.6;3,324,800.0
8/4/2024;47.3;47.4;47.1;47.2;45.2;1,510,800.0
5/4/2024;46.9;47.4;46.9;47.3;45.3;1,289,300.0
4/4/2024;48.7;48.7;47.8;47.8;45.9;1,757,500.0
3/4/2024;48.0;48.3;47.8;48.0;46.0;1,362,600.0
2/4/2024;48.2;48.2;47.7;47.7;45.8;1,305,800.0
1/4/2024;49.1;49.1;48.0;48.3;46.3;1,297,700.0
28/3/2024;49.3;49.5;48.3;48.6;46.6;2,415,300.0
27/3/2024;49.7;49.9;49.5;49.5;47.5;2,529,800.0
26/3/2024;49.2;49.8;49.2;49.8;47.7;3,615,200.0
25/3/2024;48.2;50.5;48.2;49.4;47.4;3,649,400.0
22/3/2024;48.2;48.3;47.8;48.1;46.1;2,333,100.0
21/3/2024;47.4;47.8;47.4;47.7;45.8;1,581,000.0
20/3/2024;47.3;48.3;47.2;48.2;46.3;990,400.0
19/3/2024;47.3;47.5;47.2;47.5;45.6;633,700.0
18/3/2024;48.0;48.1;47.7;47.8;45.9;961,200.0
15/3/2024;48.4;48.5;48.1;48.3;46.3;1,267,100.0
14/3/2024;48.5;48.5;47.8;48.1;46.1;1,050,400.0
13/3/2024;48.3;48.5;48.2;48.2;46.3;804,300.0
12/3/2024;48.4;48.5;48.2;48.5;46.5;741,700.0
11/3/2024;48.4;48.5;48.1;48.4;46.4;794,600.0
8/3/2024;48.0;48.3;48.0;48.3;46.3;828,200.0
7/3/2024;48.1;48.3;47.9;48.1;46.1;670,500.0
6/3/2024;47.3;47.8;47.3;47.7;45.7;1,862,100.0
5/3/2024;47.6;47.7;47.4;47.5;45.6;1,976,700.0
4/3/2024;47.0;47.4;46.8;47.2;45.2;1,977,500.0
1/3/2024;47.4;47.5;47.1;47.3;45.4;2,931,300.0
29/2/2024;48.0;48.1;47.3;47.9;45.9;1,646,000.0
28/2/2024;48.1;48.9;47.9;48.0;46.1;1,347,300.0
27/2/2024;48.3;48.4;48.1;48.2;46.3;948,600.0
26/2/2024;48.9;48.9;48.2;48.2;46.2;1,207,100.0
23/2/2024;48.4;48.8;48.2;48.8;46.8;1,144,500.0
22/2/2024;47.9;48.2;47.7;47.8;45.9;2,068,400.0
21/2/2024;47.0;48.4;47.0;47.9;46.0;2,003,500.0
20/2/2024;47.4;47.7;46.8;46.9;45.0;2,320,700.0
16/2/2024;46.2;46.7;46.1;46.2;44.3;2,336,700.0
15/2/2024;46.3;46.6;46.3;46.4;44.5;1,931,400.0
14/2/2024;45.7;46.0;45.6;45.8;43.9;2,606,500.0
13/2/2024;46.2;46.3;45.6;45.8;43.9;2,405,200.0
12/2/2024;46.3;46.5;46.2;46.3;44.5;1,872,300.0
9/2/2024;46.6;46.8;46.4;46.5;44.6;2,694,200.0
8/2/2024;46.1;46.6;46.0;46.6;44.7;3,265,500.0
7/2/2024;47.2;47.2;46.9;46.9;45.0;1,518,000.0
6/2/2024;46.6;47.1;46.5;47.1;45.2;3,757,000.0
5/2/2024;47.1;47.2;46.7;47.0;45.0;2,169,700.0
2/2/2024;48.0;48.0;47.2;47.2;45.3;2,296,700.0
1/2/2024;48.5;49.0;48.2;48.4;46.4;3,197,100.0
31/1/2024;51.1;51.3;49.9;49.9;47.9;2,249,200.0
30/1/2024;50.3;50.4;50.0;50.3;48.2;1,060,900.0
29/1/2024;50.2;50.5;50.0;50.3;48.2;1,111,200.0
26/1/2024;50.2;50.3;49.8;50.1;48.1;1,036,200.0
25/1/2024;49.9;50.1;49.6;49.9;47.9;2,884,200.0
24/1/2024;50.6;50.8;49.8;49.9;47.9;2,119,500.0
23/1/2024;50.0;50.3;49.7;49.9;47.9;3,693,200.0
22/1/2024;51.2;51.5;50.8;50.8;48.8;2,076,400.0
19/1/2024;51.2;51.3;51.0;51.0;49.0;1,689,700.0
18/1/2024;51.1;51.9;50.9;51.9;49.8;1,244,500.0
17/1/2024;51.9;51.9;51.5;51.6;49.5;1,120,900.0
16/1/2024;51.8;52.0;51.5;51.6;49.5;1,498,400.0
12/1/2024;52.4;52.8;52.2;52.2;50.1;1,479,000.0
11/1/2024;52.4;52.5;52.0;52.5;50.4;2,200,500.0
10/1/2024;51.9;52.5;51.9;52.4;50.3;2,084,400.0
9/1/2024;51.9;52.1;51.7;51.8;49.7;2,062,100.0
8/1/2024;51.5;52.0;51.5;52.0;49.9;1,550,200.0
5/1/2024;50.9;51.6;50.8;51.2;49.1;1,905,400.0
4/1/2024;50.6;51.1;50.5;51.0;48.9;1,207,500.0
3/1/2024;50.0;50.8;49.9;50.6;48.6;1,466,000.0
2/1/2024;49.3;50.1;49.3;50.0;48.0;1,102,900.0
29/12/2023;49.6;49.9;49.4;49.7;47.7;639,000.0
28/12/2023;49.6;49.9;49.4;49.4;47.4;1,081,800.0
27/12/2023;49.4;50.0;49.3;49.8;47.7;979,700.0
26/12/2023;48.7;49.2;48.6;49.1;47.1;874,500.0
22/12/2023;49.2;49.4;48.7;48.7;46.8;979,100.0
21/12/2023;48.8;49.1;48.7;49.0;47.0;1,054,900.0
20/12/2023;48.8;49.1;48.2;48.2;46.3;1,487,200.0
19/12/2023;48.7;49.1;48.6;49.1;47.1;1,130,500.0
18/12/2023;48.5;48.8;48.2;48.5;46.6;1,551,900.0
15/12/2023;47.9;48.1;47.5;47.7;45.7;1,745,600.0
14/12/2023;48.3;48.8;48.1;48.2;46.3;2,726,700.0
13/12/2023;47.3;48.4;47.2;48.3;46.3;2,214,800.0
12/12/2023;47.6;47.6;47.3;47.3;45.4;1,093,300.0
11/12/2023;47.2;47.5;47.0;47.2;45.2;1,916,400.0
8/12/2023;46.2;46.5;46.1;46.3;44.4;1,334,100.0
7/12/2023;45.8;46.2;45.4;46.1;44.2;1,947,000.0
6/12/2023;46.3;46.6;46.0;46.0;44.1;1,441,500.0
5/12/2023;46.6;46.8;46.3;46.3;44.5;1,423,300.0
4/12/2023;46.8;47.2;46.6;47.0;45.1;1,468,700.0
1/12/2023;46.5;46.9;46.3;46.7;44.8;1,162,300.0
30/11/2023;46.1;46.8;46.0;46.8;44.9;1,518,800.0
29/11/2023;46.9;47.0;46.4;46.6;44.7;1,087,100.0
28/11/2023;47.0;47.4;46.9;47.0;45.1;1,144,100.0
27/11/2023;47.6;47.7;47.3;47.7;45.7;1,490,500.0
24/11/2023;47.1;47.3;47.0;47.2;45.3;640,500.0
22/11/2023;46.4;46.5;46.1;46.5;44.6;1,439,900.0
21/11/2023;46.5;46.9;46.5;46.6;44.7;895,200.0
20/11/2023;46.6;46.9;46.5;46.5;44.6;1,055,800.0
17/11/2023;46.8;47.0;46.5;47.0;45.1;1,284,600.0
16/11/2023;46.1;46.4;45.9;46.4;44.5;1,784,800.0
15/11/2023;45.3;46.2;45.1;45.4;43.6;2,373,200.0
14/11/2023;45.7;46.1;45.6;45.7;43.9;1,665,700.0
13/11/2023;45.4;45.7;45.1;45.5;43.7;2,289,500.0
10/11/2023;46.1;46.1;45.3;45.9;44.1;2,625,300.0
9/11/2023;46.2;46.2;45.5;45.5;43.6;3,271,400.0
8/11/2023;45.8;46.2;45.6;45.8;43.9;1,750,600.0
7/11/2023;45.1;45.4;45.0;45.2;43.4;1,364,000.0
6/11/2023;45.7;45.8;45.2;45.2;43.4;2,300,900.0
3/11/2023;45.5;46.2;45.2;45.8;43.9;2,379,500.0
2/11/2023;46.9;47.1;46.2;46.5;44.6;3,873,200.0
1/11/2023;45.6;46.4;45.5;46.3;44.5;2,884,100.0
31/10/2023;45.5;45.6;45.0;45.3;43.4;4,674,200.0
30/10/2023;44.4;45.0;44.1;44.9;43.0;4,807,800.0
27/10/2023;44.8;44.8;42.6;43.1;41.4;15,522,700.0
26/10/2023;53.2;53.8;52.7;53.3;51.2;3,422,600.0
25/10/2023;53.1;53.5;52.6;53.1;50.9;1,261,700.0
24/10/2023;52.2;52.5;52.1;52.3;50.2;915,300.0
23/10/2023;52.2;52.4;52.0;52.1;50.0;1,141,000.0
20/10/2023;52.3;52.5;52.1;52.1;49.9;1,043,200.0
19/10/2023;52.5;52.6;51.8;52.3;50.2;3,781,000.0
18/10/2023;53.8;53.9;52.5;52.6;50.5;3,429,400.0
17/10/2023;54.4;54.5;53.7;53.8;51.6;1,687,700.0
16/10/2023;54.6;54.8;54.5;54.6;52.4;527,300.0
13/10/2023;54.6;54.9;54.1;54.5;52.3;1,243,700.0
12/10/2023;54.9;55.0;54.5;54.8;52.6;1,111,900.0
11/10/2023;54.9;55.0;54.5;54.8;52.6;1,782,200.0
10/10/2023;54.2;54.7;54.1;54.5;52.2;2,587,800.0
9/10/2023;54.0;54.6;53.9;54.1;51.9;2,738,600.0
